Keyphrase,Site-Search Results,Site-Search Top Position,Site-Search Top URL,Ahrefs Volume (US),Global Volume,Keyword Difficulty,CPC (USD),Clicks,Traffic Potential,Parent Topic,Ahrefs Data
linguistics,20,1,https://linguistics.arizona.edu/,21000,52000,48,0.08,5998,4200,linguistics,yes
advisor,20,1,https://advising.arizona.edu/for-advisors,20000,56000,57,3.0,6772,1600,advisor,yes
employment,20,1,https://talent.arizona.edu/,20000,102000,67,0.2,9211,3600,employment,yes
clubs,20,1,https://greek.arizona.edu/,19000,49000,4,0.08,4665,18000,night clubs near me,yes
policies,20,1,https://medicine.arizona.edu/internal-resources/form/curriculum-enrollment-and-graduation-requirements-policy,19000,47000,29,3.5,5226,5900,policy,yes
minor,21,1,https://catalog.arizona.edu/programs?type=MIN&page=1&pq=,19000,63000,21,0.45,3055,1400,minor,yes
1098-T,20,1,https://climas.arizona.edu/publication/colorado-basin-incentive-based-urban-water-policies-review-and-evaluation,18000,18000,39,0.1,15136,63000,1098-t,yes
Software Engineering,20,1,https://engineering.arizona.edu/index,18000,105000,51,3.5,8206,32000,software engineer,yes
facilities,20,1,https://west.arizona.edu/about/facilities,18000,71000,57,1.1,4687,100,facilities,yes
uaccess,20,1,https://uaccess.arizona.edu/,18000,19000,0,3.0,20271,21000,uaccess,yes
scs,20,1,https://facultyaffairs.arizona.edu/reviews/annual-performance-review/student-course-surveys-scs-dashboard,18000,115000,3,1.1,7530,28000,myscs,yes
aircraft,20,1,https://ame.engineering.arizona.edu/news-events/students-see-aircraft-assembled-honeywell-and-boeing,17000,104000,40,0.2,5020,3100,aircraft,yes
public health,20,1,https://health.arizona.edu/,17000,51000,79,2.0,8216,5700,public health,yes
mascot,20,1,https://wowlit.org/catalog/9781623543808,17000,114000,33,0.35,4568,1400,mascots,yes
journalism,20,1,https://journalism.arizona.edu/,17000,59000,77,2.5,5477,2000,journalism,yes
OPS,20,1,https://online.arizona.edu/news/arizona-online-cyber-ops-program-earns-exclusive-nsa-designation,16000,79000,39,0.07,6666,3300,ops,yes
mining,20,1,https://science.arizona.edu/,16000,97000,42,0.25,4735,3200,mining,yes
log in,20,1,https://news.arizona.edu/uannounce/netid-required-students-sept-24-oct-8,16000,92000,80,0.2,8101,24000,sign in,yes
24/7,20,1,https://it.arizona.edu/node/627,15000,78000,80,0.1,4976,136000,247 sports,yes
